episodes,nonstat_scale,seed,be_integrated_rmse,gen2_integrated_rmse,relative_gain,be_bandwidth,gen2_bandwidth
320,2.0,5,0.05798104255508943,0.04603460326040254,0.2060404361190339,24,24
320,2.0,6,0.06063396185918229,0.0552121040553319,0.08941948765350743,24,24
320,2.0,7,0.05594316035255166,0.04900711390833478,0.12398381500984534,24,24
320,2.0,8,0.06182069172590483,0.055967987250889396,0.09467225797091765,16,16
320,2.0,9,0.05668168577786153,0.0485821836176315,0.14289451785136376,24,24
320,2.0,10,0.06378938987421441,0.057474913840302407,0.09898944082022809,24,24
320,2.0,11,0.05259193255468902,0.04043221605405514,0.23120877879871204,24,24
320,2.0,12,0.06946641455182789,0.060235675753672675,0.1328805993185138,24,24
320,2.0,13,0.05537660775740053,0.042717032642385126,0.2286087145401856,24,24
320,2.0,14,0.07607104509209803,0.06878970922573634,0.09571757371738868,24,24
320,2.0,15,0.06119480365037083,0.05222975920861381,0.146500093259188,24,24
320,2.0,16,0.053412516626381544,0.042508059824212754,0.2041554581381184,24,24
320,2.0,17,0.05225992111436738,0.05668250656787311,-0.08462671506578047,24,6
320,2.0,18,0.049789937143374964,0.03973751551553395,0.20189665230735457,24,24
320,2.0,19,0.052097400482893304,0.042715556825532575,0.18008275979991267,24,24
320,2.5,0,0.061438437392552454,0.056784556112977565,0.0757486921394103,24,24
320,2.5,1,0.05558469045389428,0.04257978984362514,0.23396551287905953,24,24
320,2.5,2,0.059557724164008057,0.053909462647131555,0.09483675872708817,24,24
320,2.5,3,0.06323217745357428,0.055073342652755014,0.1290297935226027,24,24
320,2.5,4,0.05905977057280842,0.04892189474123709,0.1716545075141028,24,24
320,2.5,5,0.05420476845576596,0.045915842190328696,0.15291876529647902,24,24
320,2.5,6,0.06350406406483616,0.05439528691524829,0.1434361293835939,24,24
320,2.5,7,0.05620252619458746,0.05249406401105055,0.06598390561124014,24,24
320,2.5,8,0.05230763527433917,0.04111594979035994,0.21395892636480143,24,24
320,2.5,9,0.06792042088606898,0.06468931304323129,0.047571964376628466,24,24
320,2.5,10,0.05745638538954724,0.05073348214464743,0.11700880936591038,24,24
320,2.5,11,0.06125601339723978,0.05540992314249975,0.09543700170020304,24,24
320,2.5,12,0.05002130979263331,0.04222344450592263,0.15589086569378643,24,24
320,2.5,13,0.054503576598691046,0.04921224385050574,0.09708230318801472,24,24
320,2.5,14,0.05555217408622438,0.0478093150401796,0.13937994639105983,24,24
320,2.5,15,0.06534639481396722,0.05798544858594026,0.11264502424322911,24,24
320,2.5,16,0.057216558461054765,0.04778491346415131,0.16484117973161966,24,24
