task,task_label,seed,mismatch_type,mismatch_level,mismatch_metric,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec
small_pendulum_rich,Small,13,gain,0.05,0.2185913727274221,BE,-1,8,0.0011833404443562332,0.12327903235105604,0.08637951313578053,0.0025672920019133016
small_pendulum_rich,Small,13,gain,0.05,0.2185913727274221,Gen2,2,8,0.021204658303950675,0.1236440766827547,0.07619767582942828,0.004806958997505717
small_pendulum_rich,Small,13,gain,0.05,0.2185913727274221,CTTDProxy,-1,8,0.020537047002677198,0.08307926133709638,0.05506771347018524,0.002548832999309525
small_pendulum_rich,Small,14,gain,0.05,0.21289194861057403,BE,-1,8,0.0007519195363452665,0.09226001774972209,0.07071357295782768,0.002378999997745268
small_pendulum_rich,Small,14,gain,0.05,0.21289194861057403,Gen2,2,8,0.013511374937676957,0.08995499293066629,0.06176332210634674,0.00482495799951721
small_pendulum_rich,Small,14,gain,0.05,0.21289194861057403,CTTDProxy,-1,8,0.011759149622006207,0.07790122772591652,0.050211146203166725,0.0022163750109029934
small_pendulum_rich,Small,15,gain,0.05,0.21362955369185985,BE,-1,8,0.0012564106480453606,0.11415713281890744,0.07555906441028387,0.0022536660108016804
small_pendulum_rich,Small,15,gain,0.05,0.21362955369185985,Gen2,2,8,0.021567524565536594,0.11691496988573107,0.07016477697571921,0.005142374997376464
small_pendulum_rich,Small,15,gain,0.05,0.21362955369185985,CTTDProxy,-1,8,0.020634493523410617,0.07282010102763023,0.05747876818003497,0.0022167920105857775
small_pendulum_rich,Small,16,gain,0.05,0.21620964811680796,BE,-1,8,0.001006798870091145,0.09723455956563994,0.08232338942143846,0.0025070830015465617
small_pendulum_rich,Small,16,gain,0.05,0.21620964811680796,Gen2,2,8,0.017444217260323712,0.09238458858781258,0.07474023659932418,0.005434542006696574
small_pendulum_rich,Small,16,gain,0.05,0.21620964811680796,CTTDProxy,-1,8,0.016197028397818954,0.06725577545850821,0.05499468463066304,0.013249209005152807
small_pendulum_rich,Small,17,gain,0.05,0.21382797212185597,BE,-1,8,0.002586227313893814,0.118546988497907,0.08816713458642066,0.0022814169933553785
small_pendulum_rich,Small,17,gain,0.05,0.21382797212185597,Gen2,2,8,0.04169327490712678,0.1123707801270338,0.07707832443785886,0.007008957996731624
small_pendulum_rich,Small,17,gain,0.05,0.21382797212185597,CTTDProxy,-1,8,0.04161395683014789,0.08500956667902085,0.05526332438617065,0.0021935829863650724
small_pendulum_rich,Small,18,gain,0.05,0.21538547118790166,BE,-1,8,0.0007654608532011479,0.09681750302041589,0.07351898139716846,0.0023879999935161322
