task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,family,dt,horizon_steps
small_pendulum_rich,Small,20262044,Gen2,2,8,0.017765150391871227,0.11069289690301738,0.0709254874105593,0.006075207999856502,0.0,Small,0.04,84
small_pendulum_rich,Small,20262044,Gen3,3,8,0.01884725353686127,0.12229643320152044,0.07711897225015983,0.007566458000383136,0.0,Small,0.04,84
small_pendulum_rich,Small,20262045,BE,-1,8,0.0012357557028304649,0.11491784164782676,0.09222236992657411,0.004520167000009678,0.0,Small,0.04,84
small_pendulum_rich,Small,20262045,Gen1,1,4,0.026777200938277602,0.2342455071476339,0.12004414682232217,0.007193542000095476,0.0,Small,0.04,84
small_pendulum_rich,Small,20262045,Gen2,2,8,0.03210566667489935,0.10480758153012684,0.07690624397305139,0.007011832999978651,0.0,Small,0.04,84
small_pendulum_rich,Small,20262045,Gen3,3,8,0.03326843790856339,0.10808563609054635,0.08103453356378704,0.006189207999796054,0.0,Small,0.04,84
small_pendulum_rich,Small,20262046,BE,-1,8,0.001439753057898341,0.11438157777992938,0.08206827717310729,0.0030287499998848944,0.0,Small,0.04,84
small_pendulum_rich,Small,20262046,Gen1,1,4,0.030630657745820786,0.24665047501640863,0.13496608159305776,0.005425957999705133,0.0,Small,0.04,84
small_pendulum_rich,Small,20262046,Gen2,2,8,0.03801141523010753,0.10520809570460386,0.06888370875225262,0.008155541999713023,0.0,Small,0.04,84
small_pendulum_rich,Small,20262046,Gen3,3,8,0.038434276210258134,0.10950558365227622,0.07101978321605149,0.008169082999756938,0.0,Small,0.04,84
small_pendulum_rich,Small,20262047,BE,-1,8,0.0006240814029309925,0.12828551699766466,0.0826943306857298,0.0030517079999299312,0.0,Small,0.04,84
small_pendulum_rich,Small,20262047,Gen1,1,8,0.013872609147073936,0.09436693977645226,0.06541805635338829,0.0063788749998821,0.0,Small,0.04,84
small_pendulum_rich,Small,20262047,Gen2,2,8,0.01579859498209595,0.11078439858421449,0.06825390135730847,0.009090874999856169,0.0,Small,0.04,84
small_pendulum_rich,Small,20262047,Gen3,3,8,0.016226344151777775,0.12660789485648477,0.07509258520662067,0.0070189580001169816,0.0,Small,0.04,84
small_pendulum_rich,Small,20262048,BE,-1,8,0.0007203946749901655,0.1364451565855568,0.09924010710606697,0.0032657500000823347,0.0,Small,0.04,84
small_pendulum_rich,Small,20262048,Gen1,1,8,0.015999945370904333,0.14171343593794677,0.09283723785986929,0.007822042000043439,0.0,Small,0.04,84
small_pendulum_rich,Small,20262048,Gen2,2,8,0.018948738024869266,0.12260773866766987,0.08213875320736358,0.007114957999874605,0.0,Small,0.04,84
small_pendulum_rich,Small,20262048,Gen3,3,8,0.019789113729002685,0.12833221331635214,0.08607129168053045,0.00816541700032758,0.0,Small,0.04,84
small_pendulum_rich,Small,20262049,BE,-1,8,0.0009384591888525338,0.12401808524937426,0.08870041255926783,0.002979291999963607,0.0,Small,0.04,84
small_pendulum_rich,Small,20262049,Gen1,1,8,0.023614151433549196,0.11282554742745639,0.07878161511654269,0.006759708000117826,0.0,Small,0.04,84
small_pendulum_rich,Small,20262049,Gen2,2,8,0.02500353687066388,0.1148475215811625,0.0754327716074865,0.007057084000280156,0.0,Small,0.04,84
small_pendulum_rich,Small,20262049,Gen3,3,8,0.02491937747214529,0.12422907839463015,0.08019370154074204,0.007456791000095109,0.0,Small,0.04,84
small_pendulum_rich,Small,20262050,BE,-1,8,0.0028114950025620853,0.1245250273858637,0.09217797044822103,0.0030654170000161685,0.0,Small,0.04,84
small_pendulum_rich,Small,20262050,Gen1,1,8,0.06453753567353185,0.1492348971154585,0.08898285611703885,0.0060915420003766485,0.0,Small,0.04,84
small_pendulum_rich,Small,20262050,Gen2,2,8,0.07214076451050369,0.11871234818560812,0.07875489683729463,0.006972042000143119,0.0,Small,0.04,84
small_pendulum_rich,Small,20262050,Gen3,3,8,0.07461072085580428,0.12018055963375772,0.08207407764548541,0.006253791999824898,0.0,Small,0.04,84
small_pendulum_rich,Small,20262051,BE,-1,8,0.0014238494370572173,0.10782478008670983,0.08574575144649792,0.0030133340001157194,0.0,Small,0.04,84
small_pendulum_rich,Small,20262051,Gen1,1,2,0.03325624311596923,0.2836853225630891,0.15350022279987727,0.005355917000088084,0.0,Small,0.04,84
small_pendulum_rich,Small,20262051,Gen2,2,8,0.03778467944050687,0.09715212319429029,0.07201900487879301,0.006570833999830938,0.0,Small,0.04,84
small_pendulum_rich,Small,20262051,Gen3,3,8,0.03806992057243845,0.1057317435715435,0.07622203544092473,0.007448249999924883,0.0,Small,0.04,84
small_pendulum_rich,Small,20262020,BE,-1,8,0.0008825425340705081,0.16691660219775145,0.10077548415196884,0.008207291999951849,0.0,Small,0.02,168
small_pendulum_rich,Small,20262020,Gen1,1,8,0.04203720042713582,0.1718822633688281,0.09498760392530443,0.015852875000291533,0.0,Small,0.02,168
small_pendulum_rich,Small,20262020,Gen2,2,8,0.044960589466070344,0.15071063642271582,0.08691784357318044,0.014316332999896986,0.0,Small,0.02,168
small_pendulum_rich,Small,20262020,Gen3,3,8,0.04589076174161083,0.1621204965496602,0.09336177809166973,0.015155167000102665,0.0,Small,0.02,168
small_pendulum_rich,Small,20262021,BE,-1,8,0.001173752389522618,0.18691664478837192,0.1220812528189528,0.006029665999903955,0.0,Small,0.02,168
small_pendulum_rich,Small,20262021,Gen1,1,8,0.05629420436757432,0.26950607865417053,0.1446305255109408,0.012903917000130605,0.0,Small,0.02,168
