task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,feature_family,task_family
medium_cartpole_like_linear,Medium,20267057,Gen2,2,8,0.09135125628390386,0.7921431422308328,0.4742030266397934,0.0030188340001586766,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267074,BE,-1,8,0.0023058687415866293,1.0604000719287578,0.5774327443809097,0.001412292000168236,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267074,Gen2,2,8,0.03734442730306321,1.0583061255461497,0.5762693997260513,0.0028699589997813746,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267091,BE,-1,8,0.00277723286289196,1.9139065297252538,1.034627682780229,0.001337624999905529,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267091,Gen2,2,8,0.048424241213746624,1.9175013907463567,1.0362984486133007,0.0027792500000032305,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267108,BE,-1,8,0.002525399641515171,1.0162940058104475,0.6056983191581069,0.0013760000001639128,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267108,Gen2,2,8,0.042718632713738366,1.0167763924752584,0.6056599766775853,0.002891250000175205,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267125,BE,-1,8,0.0042880491216663475,1.4009596166027973,0.6982854469779957,0.001382082999953127,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267125,Gen2,2,8,0.0736916737068005,1.4027931832110667,0.6983175758720316,0.002853791999768873,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267142,BE,-1,8,0.0026232728276856234,1.4784630635821732,0.7473962946451129,0.0014056249997338455,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267142,Gen2,2,8,0.04602492814098819,1.4793314753530669,0.7482324334319481,0.0031374999998661224,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267159,BE,-1,8,0.0029586807443083988,1.0687307776331068,0.6407713575773725,0.0015342500000770087,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267159,Gen2,2,8,0.05233668053866508,1.0630676211527443,0.6393215348268737,0.0028457080002226576,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267176,BE,-1,8,0.00238621268696505,1.7485359488909984,0.805134497773722,0.0013369160001275304,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267176,Gen2,2,8,0.04195632685186806,1.753188238251788,0.8071416174705518,0.0028199999997013947,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267193,BE,-1,8,0.0030432963001820546,1.4935507323553905,0.7331463241651301,0.0014078750000408036,0.0,linear,Medium
medium_cartpole_like_linear,Medium,20267193,Gen2,2,8,0.05293422644207548,1.4928486917971133,0.7326757059309583,0.0029562910003733123,0.0,linear,Medium
networked_lq_12d_quadratic,Large,20268009,BE,-1,8,0.009781735778890676,0.4558120114639013,0.37792139336125924,0.009321041000021069,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268009,Gen2,2,8,0.15027239595042702,0.2442513063552116,0.20663811538833837,0.020595916000274883,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268026,BE,-1,8,0.010365136638591588,0.6888435118477901,0.4492933178930252,0.009625790999962192,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268026,Gen2,2,8,0.14385601540578405,0.4441764578136003,0.30198796981415715,0.013733291000335157,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268043,BE,-1,8,0.011239976207804927,0.6073512980876625,0.3794831845804936,0.004611332999957085,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268043,Gen2,2,8,0.16995748559402946,0.3161431339346107,0.2014311509276724,0.01999495800009754,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268060,BE,-1,8,0.011280299330545099,0.48332831805935145,0.35423802160666173,0.008168708000084735,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268060,Gen2,2,8,0.16829184390690677,0.3922053785856094,0.24077338585309763,0.016391584000302828,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268077,BE,-1,8,0.012572828096136556,0.45860613541732625,0.3810141609202225,0.012464334000014787,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268077,Gen2,2,8,0.1574793398094724,0.3268099228023585,0.27760159057953493,0.009393750000072032,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268094,BE,-1,8,0.012012042704083549,0.6219144102696053,0.4368918726637229,0.010347708000153943,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268094,Gen2,2,8,0.15340215022186002,0.48047402318251164,0.276338803700514,0.018985790999977326,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268111,BE,-1,8,0.015068445897024644,0.7449501293605627,0.4585733869361614,0.013277624999773252,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268111,Gen2,2,8,0.18891806811104941,0.49756618884604137,0.2795725183905909,0.026968040999690857,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268128,BE,-1,8,0.01053817051782673,0.5911989675237218,0.3962326432155914,0.01209533300016119,0.0,quadratic,Large
networked_lq_12d_quadratic,Large,20268128,Gen2,2,8,0.16584441368363909,0.35855088990119205,0.21300358836603323,0.021083292000184883,0.0,quadratic,Large
