task,label,seed,method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,gain_bias,behavior_gain_bias
small_pendulum_rich,Small,20264058,BE,-1,8,0.001052221670820821,0.21560857799977473,0.11234220293603753,0.002065499999844178,0.5,0.5
small_pendulum_rich,Small,20264058,Gen2,2,4,0.01773370127996764,0.23754245060101667,0.11869678896315508,0.0033558330001142167,0.5,0.5
small_pendulum_rich,Small,20265058,MBLinear,-1,4,0.09489120201960412,0.7456237151639146,0.3209907956476781,0.01016162499990969,0.5,0.5
small_pendulum_rich,Small,20264059,BE,-1,8,0.0009571148880827069,0.3053419142627231,0.1430784223139892,0.001596333000179584,0.5,0.5
small_pendulum_rich,Small,20264059,Gen2,2,8,0.016022121555044035,0.33041112306886555,0.1530363664558797,0.004173834000084753,0.5,0.5
small_pendulum_rich,Small,20265059,MBLinear,-1,6,0.10747983292546169,0.8411424067136941,0.3616067157668421,0.013506499999948574,0.5,0.5
small_pendulum_rich,Small,20264060,BE,-1,8,0.001545726654307562,0.3033397128241811,0.1413314735708306,0.0015024580002318544,0.5,0.5
small_pendulum_rich,Small,20264060,Gen2,2,8,0.027730639992679756,0.3211092831363152,0.1479276251888118,0.0035023340001316683,0.5,0.5
small_pendulum_rich,Small,20265060,MBLinear,-1,0,0.08067800535741924,0.8315048254820413,0.35639286152871796,0.002425292000225454,0.5,0.5
small_pendulum_rich,Small,20264061,BE,-1,8,0.0007606612423094449,0.1636144836236001,0.08522851051856555,0.0017039999997905397,0.5,0.5
small_pendulum_rich,Small,20264061,Gen2,2,8,0.01288902573315623,0.1840013493329766,0.09280205111170173,0.0034327079997638066,0.5,0.5
small_pendulum_rich,Small,20265061,MBLinear,-1,1,0.10035999893435174,0.7110206061925931,0.3204687306523066,0.006105292000029294,0.5,0.5
medium_cartpole_like_quadratic,Medium,20265000,BE,-1,8,0.0010749392381105285,0.14046456333843765,0.11658723882229548,0.0017558750000716827,0.0,0.0
medium_cartpole_like_quadratic,Medium,20265000,Gen2,2,8,0.015728753877273197,0.07553889038997463,0.05987446942603315,0.004331292000188114,0.0,0.0
medium_cartpole_like_quadratic,Medium,20266000,MBLinear,-1,2,0.21797402881147152,1.488840065522687,0.7562813871781698,0.011576582999623497,0.0,0.0
