method,order,bandwidth_steps,validation_score,t0_rmse,integrated_rmse,runtime_sec,family,dt,horizon_steps
Gen2,2,24,0.010610184787545135,0.08828503471616797,0.04957645042868314,0.004957750003086403,Small,0.06,56
Gen3,3,24,0.011524441642805184,0.08361826993274635,0.05090406797291353,0.005524415988475084,Small,0.06,56
BE,-1,8,0.001318022663186481,0.10004019181568041,0.08088700329024785,0.002206459001172334,Small,0.06,56
Gen1,1,8,0.022439916202627773,0.07038518408966507,0.05984921320895015,0.004539208006463014,Small,0.06,56
Gen2,2,12,0.02208411406352045,0.08372119165983029,0.06958777291773251,0.004539291010587476,Small,0.06,56
Gen3,3,16,0.022258312948089273,0.08515401885328525,0.06769466152271082,0.005912708002142608,Small,0.06,56
BE,-1,24,0.0007400567592145147,0.095406240270943,0.06334440823416558,0.002456374990288168,Small,0.06,56
Gen1,1,24,0.010412610971345845,0.06568579194609571,0.044348495827189686,0.005824541003676131,Small,0.06,56
Gen2,2,24,0.012367290641499343,0.08316940138976144,0.05262211629560898,0.004893624995020218,Small,0.06,56
Gen3,3,24,0.013775981603940293,0.09221085762673788,0.056051505725266675,0.005325790989445522,Small,0.06,56
BE,-1,16,0.0009270682841411614,0.13294503767809973,0.08934906048232676,0.0024533750111004338,Small,0.06,56
Gen1,1,16,0.015553851406892612,0.10042391332233509,0.0639863679949737,0.004773458989802748,Small,0.06,56
Gen2,2,16,0.017479800715898115,0.12984515719561135,0.0793098380765893,0.006468457999289967,Small,0.06,56
Gen3,3,16,0.01854777736417497,0.1324430926068616,0.08265133854018786,0.004604000001563691,Small,0.06,56
BE,-1,24,0.0011534879750895537,0.1264539144208502,0.07906227365985039,0.0030382499971892685,Small,0.06,56
Gen1,1,2,0.015745168981228755,0.33076169779600373,0.16946838658721758,0.004930750001221895,Small,0.06,56
Gen2,2,2,0.022979472854373427,0.1908216079303226,0.10879994079140876,0.004380832993774675,Small,0.06,56
Gen3,3,24,0.023754225115944563,0.11711569455435644,0.06906266289406769,0.005109916994115338,Small,0.06,56
BE,-1,24,0.000876214115642888,0.09058279693494393,0.06323442790128563,0.0024684169911779463,Small,0.06,56
Gen1,1,24,0.013574302289756701,0.06574251844744279,0.0449863017829848,0.004864540998823941,Small,0.06,56
Gen2,2,24,0.013836552226301469,0.08424215092346712,0.052883781067275475,0.005321458011167124,Small,0.06,56
Gen3,3,24,0.014724839227239994,0.0868079198043599,0.054091392308607884,0.005121583992149681,Small,0.06,56
BE,-1,24,0.0009902745607637358,0.07771099718947168,0.05913800797540142,0.002496374989277683,Small,0.06,56
Gen1,1,24,0.015619425526877796,0.055988733616611455,0.040785534817248045,0.0048708340036682785,Small,0.06,56
Gen2,2,24,0.01901097725330366,0.07085088829080013,0.04787654956396543,0.004851833000429906,Small,0.06,56
Gen3,3,24,0.020309535038190395,0.07369518188129283,0.05107688537704396,0.005272541995509528,Small,0.06,56
BE,-1,24,0.0006362827109997045,0.08294605574651036,0.06267086150874007,0.0029885420080972835,Small,0.06,56
Gen1,1,24,0.009736400056251109,0.0529862390000939,0.04206914902256361,0.004959958998369984,Small,0.06,56
Gen2,2,24,0.0103108431602456,0.06356070413207879,0.04800373777591883,0.004988333996152505,Small,0.06,56
Gen3,3,24,0.011065696593744925,0.0726361520575673,0.05189716834125349,0.0047845420049270615,Small,0.06,56
BE,-1,24,0.0014989988515073552,0.0801521487403742,0.05862701206118911,0.0022912499989615753,Small,0.06,56
Gen1,1,24,0.021428107317616466,0.056799213906663544,0.03982455840278731,0.004665583997848444,Small,0.06,56
Gen2,2,24,0.021088459101903136,0.06340394667674705,0.044114626410197505,0.004779249997227453,Small,0.06,56
Gen3,3,24,0.022424154719355247,0.06612138236900965,0.047650429235233924,0.0050972919998457655,Small,0.06,56
BE,-1,24,0.0006827550607736881,0.10582750067564513,0.06593708599859062,0.0024038749979808927,Small,0.06,56
Gen1,1,24,0.010008601106685307,0.0833508164200249,0.04686176786436471,0.004794166001374833,Small,0.06,56
Gen2,2,24,0.010680494210241318,0.10013910131228909,0.05576535235677744,0.005185832997085527,Small,0.06,56
Gen3,3,24,0.011456696477174674,0.09923454955125859,0.057991994965859654,0.004680124999140389,Small,0.06,56
BE,-1,16,0.0008032726216940496,0.10518081602311875,0.0748500618998115,0.002236333006294444,Small,0.06,56
Gen1,1,24,0.012253023484032748,0.06617275984657156,0.045369224617156215,0.005573250004090369,Small,0.06,56
Gen2,2,24,0.01405097877902348,0.08028171959281111,0.0539267864825615,0.008745041996007785,Small,0.06,56
Gen3,3,24,0.014915344967944841,0.08396926013783658,0.05650747789029543,0.0064584579959046096,Small,0.06,56
BE,-1,24,0.0011146313779145695,0.08339328400964874,0.06315543610785984,0.0025818750000325963,Small,0.06,56
Gen1,1,24,0.01805603874803759,0.052110418412143096,0.041806623439957884,0.00465283400262706,Small,0.06,56
Gen2,2,24,0.01883556143052005,0.06089372227003819,0.047116823699572465,0.0046895419945940375,Small,0.06,56
Gen3,3,24,0.01935321288785899,0.07151659349633757,0.05185913201803198,0.0050697089900495484,Small,0.06,56
BE,-1,24,0.0005898929811937499,0.08274553611160308,0.0626932823727467,0.0024251250142697245,Small,0.06,56
Gen1,1,24,0.008086202893336848,0.062488077610982636,0.045903866954604806,0.004867583003942855,Small,0.06,56
Gen2,2,24,0.010211732495348524,0.0749686929459264,0.05283236328709799,0.004911833995720372,Small,0.06,56
Gen3,3,24,0.011553417479327789,0.0741919265521687,0.05300203284981869,0.005005999992135912,Small,0.06,56
BE,-1,24,0.0008254535001764632,0.08372477012506896,0.05868383628049677,0.0023082919942680746,Small,0.06,56
Gen1,1,24,0.011685019085937071,0.05644629066214083,0.03982102517986678,0.00580891699064523,Small,0.06,56
Gen2,2,24,0.01343280270437429,0.0680228520879678,0.04672194023841785,0.005339208000805229,Small,0.06,56
Gen3,3,24,0.01447954539572319,0.07490573932980282,0.05033126153991829,0.004996542003937066,Small,0.06,56
