episodes,nonstat_scale,seed,be_integrated_rmse,gen2_integrated_rmse,relative_gain
240,1.5,1,0.0679763221040775,0.0587990694860556,0.13500660721200466
240,1.5,2,0.06713717763460732,0.05734546822851091,0.14584630678679378
240,1.5,3,0.0810288801761014,0.07386934966944456,0.08835776196211664
240,1.5,4,0.08206543180337604,0.0942441572894804,-0.14840262481386654
240,1.5,5,0.0702233772801856,0.061880764250382296,0.11880107953960904
240,1.5,6,0.07712935756216519,0.06784176593491999,0.12041577838580503
240,1.5,7,0.07077851997061611,0.06173987545629598,0.12770321445083269
240,1.5,8,0.07177469060254531,0.09667994129437474,-0.34699210101431255
240,1.5,9,0.08150003085415028,0.07461185012655426,0.08451752294330878
240,1.5,10,0.07181192954012655,0.06117604857708026,0.1481074388497422
240,1.5,11,0.06774940995297254,0.058664543517216325,0.13409513739030898
240,2.0,0,0.06750089205824597,0.06138806910688817,0.09055914321966436
240,2.0,1,0.07218392125616604,0.06781445648091537,0.060532383101554316
240,2.0,2,0.08001171770222541,0.07670429162705265,0.041336771289947796
240,2.0,3,0.07513260815353798,0.07236500584897725,0.03683623359520504
240,2.0,4,0.07643384271438661,0.07224499485848791,0.054803575316124425
240,2.0,5,0.055487173826855106,0.04620196820493566,0.16733967476688313
240,2.0,6,0.06986924958704702,0.06138729273077443,0.12139756625989363
240,2.0,7,0.06428189074178563,0.053906467356118586,0.1614050748342819
240,2.0,8,0.06530714638598759,0.055736673860638394,0.1465455628513367
240,2.0,9,0.05850190036449505,0.051836095615197406,0.11394167895002495
240,2.0,10,0.0761520060237175,0.0652188783752351,0.14356979178036725
240,2.0,11,0.06450958610045578,0.058824054012150864,0.0881346855869029
480,0.0,0,0.09639235865267343,0.08740448849832465,0.09324255864237535
480,0.0,1,0.07808495783247739,0.06449112572718815,0.17409027913485328
480,0.0,2,0.08465982272065412,0.0704848202455465,0.16743482350394048
480,0.0,3,0.0894421887623471,0.07324722373102392,0.18106628712266984
480,0.0,4,0.09419820228228801,0.08249861231093351,0.12420183918472036
480,0.0,5,0.09380747551205619,0.07703635731601037,0.17878232096641794
480,0.0,6,0.09709169648841785,0.08377495379284224,0.13715634989614361
480,0.0,7,0.09672832716721834,0.07911414110326678,0.18209956255628373
480,0.0,8,0.07256212291515927,0.057157264616918176,0.2122988920301118
480,0.0,9,0.08997626677460827,0.07626368980030625,0.15240215521113146
480,0.0,10,0.09150262318237244,0.08062512836813207,0.11887631672111308
480,0.0,11,0.09813000957952174,0.08340738298136212,0.15003184715098625
480,0.5,0,0.07817661852969418,0.06607043793086749,0.15485679511999287
